bsv,0.36,2.12,0.30,1.77,3.39,5.06,4.02,0.76,2.50,3.90,10.11,0.02,1.38,1.74,4.30,14.89,13.00,1.40,12.90,1.25,2.47,0.66,0.60,7.10,12.35,6.83,11.17,8.14,0.69,6.69,6.16,2.09,5.85,5.53,7.09,6.28,4.63,3.88,3.77,3.64,0.66,9.26,4.25,1.08,3.48,7.72,2.36,7.71,3.12,5.11,4.93,0.77,0.06,4.57,10.45,6.12,4.24,6.77,4.55,12.50,0.90,4.52,6.99,0.45,1.22,7.49,10.09,15.73,9.12,0.22,0.30,1.92,1.50,5.93,4.01,4.30,13.33,2.37,1.74,9.97,10.03,12.55,1.47,1.72,7.96,1.80,11.72,5.79,5.06,4.07,2.57,3.77,7.33,9.89,2.81,0.24,8.42,1.56,4.25,3.57
biv,8.48,4.91,7.11,4.97,1.38,0.74,5.28,13.44,7.62,3.31,10.81,5.85,0.01,1.89,2.32,3.50,1.32,7.96,8.10,7.53,7.66,6.65,2.30,6.73,5.43,1.13,1.86,0.02,4.94,2.70,3.66,0.20,2.68,2.03,1.86,7.06,1.46,9.13,1.81,12.72,11.17,0.25,0.43,6.36,0.43,2.23,5.53,2.17,5.07,4.50,8.34,4.25,0.72,3.15,1.10,4.13,0.96,9.97,3.57,10.16,1.54,7.36,0.60,17.41,6.37,2.65,2.36,1.69,4.55,6.26,7.44,3.33,9.72,16.84,3.93,8.97,9.89,2.26,2.14,3.89,1.08,5.95,0.96,3.90,3.29,0.42,0.42,6.80,0.79,0.06,0.73,6.84,0.60,0.63,5.58,6.94,13.96,0.98,4.61,1.44
blv,0.39,2.67,0.65,1.39,2.53,1.84,3.19,4.54,2.30,9.75,1.73,6.40,4.26,2.36,0.32,2.73,4.35,6.40,0.58,0.56,5.40,1.02,0.73,3.29,1.62,1.23,4.05,8.40,5.67,1.83,5.57,10.37,0.05,1.20,3.04,1.04,1.58,0.35,5.06,0.06,1.28,4.92,6.72,2.86,1.85,0.17,0.01,0.57,3.45,3.75,0.62,0.54,2.82,1.06,2.25,1.57,2.38,2.74,1.37,3.54,2.00,1.43,0.79,0.96,3.53,0.93,3.07,0.40,2.15,1.56,2.33,4.73,2.39,0.39,4.66,3.14,0.25,4.98,0.27,1.40,3.99,2.34,0.17,4.96,0.12,3.21,1.00,2.03,2.49,0.06,0.12,2.98,4.76,0.03,1.65,1.15,0.95,4.08,3.06,2.56
voo,10.55,2.77,12.60,23.42,13.53,13.35,23.91,18.36,26.11,20.97,5.41,19.65,12.79,19.42,8.48,12.54,26.25,23.09,2.20,19.68,21.40,14.31,28.36,21.90,13.92,11.96,21.51,25.15,18.76,13.64,5.68,21.19,13.34,26.21,9.76,13.73,14.99,1.82,28.80,23.66,26.20,22.43,26.85,23.89,17.82,15.58,17.48,20.14,10.20,22.67,8.85,2.71,17.74,23.93,15.12,19.47,21.19,18.64,20.27,9.55,18.97,19.19,10.84,17.65,23.40,7.39,16.71,19.75,19.25,8.06,28.50,18.28,12.87,11.17,16.32,9.75,0.65,25.68,13.67,19.33,4.58,30.56,13.57,20.43,10.68,20.60,23.66,22.76,20.77,23.04,17.98,33.66,24.45,21.20,19.92,1.79,12.03,8.99,9.75,20.04
vti,26.26,25.08,19.00,25.67,2.01,17.03,4.92,5.12,13.34,14.12,11.81,18.08,5.00,14.10,1.82,2.65,11.49,13.63,12.69,17.31,15.42,14.24,6.81,3.29,13.39,14.80,10.56,5.28,7.74,8.94,5.39,1.48,17.38,7.53,30.08,5.40,9.09,18.38,6.25,4.54,24.62,1.70,2.89,7.92,17.33,8.39,11.61,13.64,10.14,7.67,0.33,12.50,20.13,1.25,20.31,2.89,9.64,1.76,22.80,9.63,5.91,16.18,12.74,1.81,13.44,21.40,0.38,8.49,4.05,19.71,12.28,2.73,10.00,0.56,6.52,11.70,2.33,11.13,15.89,14.07,6.05,6.23,8.43,5.75,19.28,20.50,4.15,2.13,1.84,20.34,28.19,7.59,15.95,18.90,19.52,5.68,13.15,3.86,3.96,9.36
vb,3.21,3.60,12.37,2.72,6.22,1.22,3.85,3.10,2.36,1.38,10.74,4.05,12.16,15.02,7.04,1.85,3.13,0.81,0.34,1.66,6.53,16.79,13.32,1.66,4.65,11.36,0.27,2.10,6.99,4.79,3.82,5.41,5.64,14.95,4.45,5.40,8.13,0.46,3.43,7.99,0.03,7.52,3.24,0.92,2.21,11.70,5.94,12.05,7.35,4.74,11.80,6.00,5.71,8.64,1.03,0.10,17.20,2.68,2.31,1.39,8.94,1.12,13.87,3.65,1.89,0.38,5.79,0.12,9.65,1.67,3.78,18.56,7.98,2.62,0.50,4.37,6.10,1.25,11.74,1.20,2.04,3.42,6.04,3.34,3.07,5.11,11.97,9.80,8.41,5.93,0.86,9.94,4.37,7.37,1.71,9.63,6.94,20.65,12.61,3.78
vo,1.27,2.88,12.08,1.83,21.98,18.93,5.75,4.66,3.90,5.49,6.76,13.94,12.95,18.75,24.65,8.03,2.00,9.42,1.71,3.06,2.48,12.06,8.70,20.87,19.19,22.98,6.22,10.09,9.83,2.00,16.64,5.13,7.78,5.96,18.03,9.74,19.27,10.84,15.84,1.22,7.04,3.12,11.17,24.35,12.42,19.81,22.03,14.43,19.74,8.74,0.59,22.35,7.33,8.69,10.54,26.55,5.79,11.10,7.70,6.30,10.68,5.84,10.91,18.45,5.20,10.65,15.65,24.97,6.52,17.22,5.90,7.32,10.79,7.93,13.09,8.63,20.98,1.33,18.28,12.54,22.45,6.65,14.10,14.02,8.75,11.46,1.33,3.50,17.17,11.43,13.92,3.52,1.76,1.12,8.99,15.05,9.13,9.71,9.78,11.60
vv,27.97,31.22,16.81,17.36,19.48,21.48,25.11,43.72,18.21,25.40,23.81,20.53,23.10,16.09,20.07,34.00,19.51,27.32,27.59,19.00,31.25,20.57,21.81,24.39,23.93,22.20,28.05,23.24,22.33,19.92,26.78,36.27,16.76,24.69,23.77,23.04,21.87,26.23,23.00,22.73,20.51,22.32,25.77,19.96,16.90,20.05,21.64,21.41,25.02,21.27,28.73,20.18,20.58,21.09,21.93,24.58,19.47,26.04,24.86,31.43,19.72,18.56,22.90,19.58,21.09,22.72,19.13,21.14,29.56,26.25,34.31,22.57,22.47,27.92,32.03,23.90,28.23,25.60,14.26,17.02,21.07,20.61,20.76,19.67,17.91,21.63,25.35,23.29,22.45,17.48,17.46,23.85,19.65,20.68,24.22,25.82,27.57,23.81,23.40,14.79
vtv,13.27,15.20,17.38,15.32,27.98,17.52,22.66,2.16,23.09,11.39,17.73,11.49,25.29,8.75,22.48,13.00,17.05,0.87,26.90,20.89,3.83,7.47,15.22,8.21,4.39,6.25,8.78,14.45,19.27,31.54,24.65,14.57,24.26,10.38,0.78,23.02,14.82,24.14,2.27,17.56,6.50,25.22,13.15,12.25,22.58,13.29,9.04,6.37,15.81,20.07,24.63,26.58,13.82,18.49,8.83,14.26,13.85,16.63,5.89,14.15,18.35,22.23,16.03,19.70,17.18,22.58,21.92,5.54,9.08,17.76,0.83,18.99,18.96,25.47,18.21,22.15,18.01,15.79,20.64,17.67,25.56,8.50,22.54,20.96,26.46,14.19,17.13,21.47,20.02,12.34,8.14,7.24,17.27,12.76,5.25,25.70,6.93,24.07,27.78,29.11
vwo,8.25,9.54,1.69,5.54,1.50,2.82,1.31,4.15,0.57,4.30,1.08,0.00,3.05,1.89,8.52,6.80,1.92,9.10,6.97,9.07,3.57,6.23,2.16,2.57,1.13,1.26,7.53,3.12,3.79,7.95,1.64,3.30,6.26,1.52,1.17,5.30,4.15,4.77,9.77,5.89,1.99,3.27,5.53,0.41,4.99,1.06,4.36,1.52,0.09,1.48,11.19,4.13,11.09,9.13,8.43,0.33,5.28,3.68,6.68,1.34,12.98,3.58,4.33,0.34,6.67,3.80,4.90,2.16,6.07,1.30,4.35,1.57,3.33,1.18,0.73,3.08,0.24,9.61,1.36,2.93,3.14,3.19,11.95,5.25,2.48,1.09,3.27,2.44,0.98,5.24,10.02,0.62,3.87,7.40,10.36,8.01,0.92,2.30,0.79,3.76
